name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,srr_scope_nodes,srr_revisits,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional
mdocvrptw,minimize,15.792774200439453,13.3108549118042,10.90636920928955,True,44.80322367032912,22.04661933200113,15.71553710029104,9,8,8,0,False,True,True,False,True,False,False
mdocvrpbl,minimize,12.014026641845703,10.380535125732422,7.207280158996582,True,66.69293237961669,44.028467004640895,13.59653648863833,8,8,8,0,False,False,True,False,True,False,False
mdocvrpbp,minimize,15.474156379699707,12.873199462890625,9.020671844482422,True,71.54106308794083,42.70776816656553,16.808392347780813,8,8,8,0,False,False,True,True,True,False,False
amdcvrptw,minimize,4.503026962280273,4.128232002258301,3.354909896850586,True,34.22199405437028,23.050458259211943,8.323178234584264,8,8,10,3,True,True,True,False,False,False,False
amdcvrpbl,minimize,3.9489221572875977,3.360517740249634,2.029139995574951,True,94.6106313955278,65.61290731926263,14.900380245583827,8,8,8,0,True,False,True,False,False,False,False
amdcvrpbp,minimize,3.896819829940796,3.3720455169677734,2.13319993019104,True,82.67485268442765,58.07451843793131,13.466732768627779,8,8,9,0,True,False,True,True,False,False,False
amdocvrpl,minimize,3.121278762817383,2.6897499561309814,1.473230004310608,True,111.86635852410383,82.57501871811517,13.825385025747824,10,8,9,0,True,False,True,False,True,False,False
amdocvrpb,minimize,3.2034504413604736,2.7600135803222656,1.539430022239685,True,108.09328095991265,79.28801832166289,13.842476078696095,9,8,9,0,True,False,True,False,True,False,False
ocvrpbpltw,minimize,20.199501037597656,18.265499114990234,15.567480087280273,True,29.754468445423417,17.33112239478265,9.574503444454558,10,8,11,0,False,True,False,True,True,False,False
acvrpbpltw,minimize,6.957699298858643,6.221255302429199,4.274040222167969,True,62.78974780750687,45.55911921843176,10.584590750425955,9,8,10,0,True,True,False,True,False,False,False
aocvrpbltw,minimize,4.277169227600098,3.5630950927734375,2.726140022277832,True,56.89470066274512,30.701103525720075,16.69501712064183,9,8,8,0,True,True,False,False,True,False,False
aocvrpbptw,minimize,4.133709907531738,3.6835520267486572,2.9010000228881836,True,42.492584450802276,26.97524983406856,10.889924325915576,9,8,10,2,True,True,False,True,True,False,False
mdcvrpbltw,minimize,52.020694732666016,41.60858154296875,16.33831787109375,True,218.39688236634575,154.6686988908688,20.01532898244639,8,8,8,0,False,True,True,False,False,False,False
mdcvrpbptw,minimize,27.209190368652344,23.330066680908203,16.943025588989258,True,60.59227571688698,37.69716960157153,14.256667086328564,8,8,9,0,False,True,True,True,False,False,False
mdocvrpltw,minimize,14.791386604309082,12.753833770751953,9.88421630859375,True,49.64652879408187,29.032321557585078,13.775265889971,9,8,9,0,False,True,True,False,True,False,False
mdocvrpbtw,minimize,17.388416290283203,15.083041191101074,10.510350227355957,True,65.44088364463123,43.506551778298345,13.258108505663005,9,8,9,0,False,True,True,False,True,False,False
mdocvrpbpl,minimize,12.517395973205566,10.883694648742676,8.08454704284668,True,54.831135335913885,34.6234314805889,13.051447185660276,10,8,9,0,False,False,True,True,True,False,False
amdcvrpltw,minimize,5.999233722686768,5.447193145751953,3.8935599327087402,True,54.08093945822776,39.90264025452805,9.201851477251367,10,8,9,0,True,True,True,False,False,False,False
amdcvrpbtw,minimize,5.320703983306885,4.618505477905273,3.578700065612793,True,48.6770024242253,29.0553942277482,13.197473635155815,8,8,9,0,True,True,True,False,False,False,False
amdcvrpbpl,minimize,4.766524791717529,3.966257333755493,2.392819881439209,True,99.20115294472596,65.75661898002573,16.789327506543284,10,8,8,0,True,False,True,True,False,False,False
amdocvrptw,minimize,3.4183175563812256,2.8672337532043457,1.9101699590682983,True,78.95358159901849,50.103593640581764,16.121492344914856,10,8,10,0,True,True,True,False,True,False,False
amdocvrpbl,minimize,3.244565486907959,2.806725025177002,1.5236300230026245,True,112.94969499970074,84.21302959400711,13.494579274102275,9,8,8,0,True,False,True,False,True,False,False
amdocvrpbp,minimize,3.778132677078247,3.11997127532959,1.7706600427627563,True,113.37425512710143,76.20385618808602,17.420282928169552,8,8,8,0,True,False,True,True,True,False,False
aocvrpbpltw,minimize,4.88510274887085,4.293156623840332,3.575939893722534,True,36.61031488383,20.056733374541682,12.117373071985863,10,8,10,0,True,True,False,True,True,False,False
mdcvrpbpltw,minimize,49.97146224975586,40.60529708862305,17.7119197845459,True,182.13464637163293,129.25407060646359,18.743027999302885,10,8,10,0,False,True,True,True,False,False,False
mdocvrpbltw,minimize,16.494403839111328,13.904833793640137,10.192261695861816,True,61.83261705111299,36.425400059004275,15.699688638220646,8,8,11,1,False,True,True,False,True,False,False
mdocvrpbptw,minimize,16.718029022216797,14.241401672363281,10.998909950256348,True,51.99714424270885,29.48011881878678,14.8141108414293,8,8,9,0,False,True,True,True,True,False,False
amdcvrpbltw,minimize,7.279699802398682,6.626358985900879,4.65995979309082,True,56.21808182105068,42.19777165729152,8.97483185065578,8,8,8,0,True,True,True,False,False,False,False
